Date,Open,High,Low,Close,Volume
2017-04-24,47.89,48.2,47.75,48.15,9853785.0
2017-04-25,48.29,48.46,48.155,48.4,10155773.0
2017-04-26,48.4,48.47,48.17,48.26,4003651.0
2017-04-27,48.08,48.47,48.02,48.36,10549666.0
2017-04-28,48.45,48.5,48.16,48.21,4826957.0
2017-04-29,48.45,48.5,48.16,48.21,4826957.0
2017-04-30,48.45,48.5,48.16,48.21,4826957.0
2017-05-01,48.22,48.78,48.12,48.61,6165419.0
2017-05-02,48.72,49.3,48.72,49.09,5995086.0
2017-05-03,49.19,49.19,48.17,48.54,4692004.0
2017-05-04,48.63,48.68,48.16,48.45,6201642.0
2017-05-05,48.45,48.66,48.27,48.49,4707173.0
2017-05-06,48.45,48.66,48.27,48.49,4707173.0
2017-05-07,48.45,48.66,48.27,48.49,4707173.0
2017-05-08,48.71,48.96,48.51,48.85,8560264.0
2017-05-09,49.14,49.67,48.94,49.49,10256686.0
2017-05-10,49.4,49.6,49.14,49.4,8354762.0
2017-05-11,49.45,49.71,49.14,49.69,6078183.0
2017-05-12,49.75,49.75,49.44,49.65,6154830.0
2017-05-13,49.75,49.75,49.44,49.65,6154830.0
2017-05-14,49.75,49.75,49.44,49.65,6154830.0
2017-05-15,49.71,49.94,49.48,49.86,9005493.0
2017-05-16,50.05,51.12,50.03,50.96,18432104.0
2017-05-17,50.7,50.7,49.445,49.65,20637403.0
2017-05-18,48.68,50.03,47.74,49.63,13712829.0
2017-05-19,50.03,51.23,50.01,50.18,11157858.0
2017-05-20,50.03,51.23,50.01,50.18,11157858.0
2017-05-21,50.03,51.23,50.01,50.18,11157858.0
2017-05-22,50.51,51.08,50.215,50.65,9061301.0
2017-05-23,50.66,50.9,50.26,50.31,7332584.0
2017-05-24,50.4,50.59,49.9,50.32,11377710.0
2017-05-25,50.48,50.75,50.05,50.6,11960271.0
2017-05-26,50.5,50.74,50.32,50.67,6025925.0
2017-05-27,50.5,50.74,50.32,50.67,6025925.0
2017-05-28,50.5,50.74,50.32,50.67,6025925.0
2017-05-29,50.5,50.74,50.32,50.67,6025925.0
2017-05-30,50.67,50.94,50.5,50.56,8393010.0
2017-05-31,50.6,50.65,49.965,50.32,8629532.0
2017-06-01,50.49,50.7,50.07,50.65,7746219.0
2017-06-02,50.53,50.75,50.31,50.6,9845667.0
2017-06-03,50.53,50.75,50.31,50.6,9845667.0
2017-06-04,50.53,50.75,50.31,50.6,9845667.0
2017-06-05,50.52,50.88,50.4,50.6,16588787.0
2017-06-06,50.42,50.76,50.3,50.5,27231846.0
2017-06-07,50.47,50.72,50.28,50.55,25949237.0
2017-06-08,55.35,55.94,53.49,55.71,63932312.0
2017-06-09,56.155,57.39,53.66,54.02,69002668.0
2017-06-10,56.155,57.39,53.66,54.02,69002668.0
2017-06-11,56.155,57.39,53.66,54.02,69002668.0
2017-06-12,53.79,54.55,52.6,53.12,57480339.0
2017-06-13,53.65,54.08,52.0,52.005,152590970.0
2017-06-14,52.42,54.26,52.16,52.63,65466397.0
2017-06-15,52.17,52.76,51.645,52.58,65808136.0
2017-06-16,52.79,53.3,51.9,52.5892,251032146.0
